,EA (eV)
0,0.6809158802730186
1,-0.6804851934417276
2,-0.9809323269511888
3,-0.8588756789629702
4,-1.4128250813710392
5,-0.7086521122082394
6,-1.0936000020172367
7,-1.1499338395502607
8,0.671526907350848
9,0.5964151239734826
10,0.6527489615065066
11,0.8123615011834079
12,0.6527489615065066
13,0.6903048531951893
14,0.6245820427399946
15,1.4977565245018665
16,-0.3988160057766075
17,-0.7368190309747513
18,-0.3800380599322662
19,-0.276759357788389
20,-0.5114836808426556
21,-0.5490395725313383
22,-0.8588756789629702
23,-0.5020947079204847
24,-0.6617072475973863
25,-0.8494867060407993
26,-0.5208726537648259
27,-0.6710962205195568
28,-0.4645388162318024
29,-0.5114836808426556
30,-0.5678175183756796
31,-0.642929301753045
32,0.07063264033192562
33,-0.6147623829865327
34,-0.5114836808426556
35,-0.5208726537648259
36,-0.586595464220021
37,0.05185469448758428
38,-0.3988160057766075
39,-0.6898741663638981
40,-0.08897989934497558
41,-0.5396505996091674
42,-0.4645388162318024
43,-0.09836887226714644
44,-0.15470270980017048
45,1.3850888494358184
46,1.3099770660584529
47,0.6903048531951893
48,0.16452236955363236
49,0.5588592322848002
50,0.16452236955363236
51,-2.7460592363192733
52,-2.6615584800197376
53,-2.614613615408884
54,-0.042035034734122435
55,-0.4082049786987784
56,-1.0654330832507246
57,-0.5678175183756796
58,2.7277119773062237
59,1.8733154413886928
60,1.9014823601552049
61,1.948427224766058
62,0.8311394470277491
63,-0.4739277891539729
64,-0.830708760196458
65,-0.5020947079204847
66,-0.6147623829865327
67,-0.3143152494770717
68,-0.6241513559087036
69,1.9202603059995458
70,0.6339710156621653
71,1.948427224766058
72,0.5870261510513121
73,-0.8119308143521167
74,-0.586595464220021
75,1.2724211743697702
76,-1.1874897312389432
77,-1.7226611878026712
78,1.0940306888485278
79,-0.5772064912978501
80,-0.642929301753045
81,-0.642929301753045
82,-0.699263139286069
83,-0.7555969768190927
84,-0.1922586014888532
85,0.07063264033192562
86,0.20207826124231498
87,0.1363554507871201
88,0.9344181491716266
89,-0.3049262765549008
90,0.9062512304051146
91,0.8968622574829439
92,1.0189189054711625
93,0.9156402033272852
94,0.9625850679381386
95,0.5776371781291415
96,1.2536432285254289
97,1.2442542556032583
98,1.1691424722258932
99,1.3287550119027944
100,0.98136301378248
101,0.8123615011834079
102,0.8029725282612373
103,-1.4409920001375511
104,1.5822572808014022
105,0.014298802798901597
106,0.4837474489074348
107,-1.1029889749394073
108,0.4837474489074348
