Energy,Element
3.83,Fr
3.894,Cs
4.177,Rb
4.341,K
5.139,Na
5.17,Ac
5.212,Ba
5.279,Ra
5.392,Li
5.4259,Lu
5.46,Pr
5.53,Nd
5.54,Ce
5.554,Pm
5.58,La
5.64,Sm
5.67,Eu
5.695,Sr
5.786,In
5.86,Tb
5.89,Pa
5.94,Dy
5.986,Al
5.993,Am
5.999,Ga
6.018,Ho
6.02,Cm
6.05,U
6.06,Pu
6.08,Th
6.101,Er
6.108,Tl
6.113,Ca
6.15,Gd
6.184,Tm
6.19,Np
6.23,Bk
6.254,Yb
6.3,Cf
6.38,Y
6.42,Es
6.5,Fm
6.54,Sc
6.58,Md
6.65,Hf
6.65,No
6.74,V
6.766,Cr
6.82,Ti
6.84,Zr
6.88,Nb
7.099,Mo
7.28,Tc
7.289,Bi
7.344,Sn
7.37,Ru
7.416,Pb
7.435,Mn
7.46,Rh
7.576,Ag
7.635,Ni
7.646,Mg
7.726,Cu
7.86,Co
7.87,Fe
7.88,Re
7.89,Ta
7.899,Ge
7.98,W
8.151,Si
8.298,B
8.34,Pd
8.42,Po
8.641,Sb
8.7,Os
8.993,Cd
9,Pt
9.009,Te
9.1,Ir
9.225,Au
9.322,Be
9.394,Zn
9.65,At
9.752,Se
9.81,As
10.36,S
10.437,Hg
10.451,I
10.486,P
10.748,Rn
11.26,C
11.814,Br
12.13,Xe
12.967,Cl
13.598,H
13.618,O
13.999,Kr
14.534,N
15.759,Ar
17.422,F
21.564,Ne
24.587,He
